PlotObservationID,cover,species
SA50,0.5,Carlina corymbosa L.
SA50,37.5,Cistus creticus L. subsp. eriocephalus (Viv.) Greuter & Burdet
SA50,0.1,Convolvulus althaeoides L. subsp. tenuissimus (Sibth. & Sm.) Stace
SA50,0.5,Dorycnium hirsutum (L.) Ser.
SA50,0.5,Galium corrudifolium Vill.
SA50,0.5,Helichrysum italicum (Roth) G.Don
SA50,0.5,Orchis italica Poir.
SA50,3,Psoralea bituminosa L.
SA50,0.5,Quercus ilex L.
SA50,0.5,Serratula cichoracea (L.) DC.
SA50,0.5,Seseli tortuosum L.
SA50,0.5,Spartium junceum L.
MF17,0.5,Aira elegans Willd.
MF17,0.5,Allium subhirsutum L.
MF17,37.5,Ampelodesmos mauritanicus (Poir.) T.Durand & Schinz
MF17,0.1,Asparagus acutifolius L.
MF17,15,Asphodelus ramosus L.
MF17,0.5,Asterolinon linum-stellatum (L.) Duby
MF17,0.5,Avena barbata Pott ex Link
MF17,0.1,Blackstonia perfoliata (L.) Huds.
MF17,3,Brachypodium plukenetii (All.) Beauv.
MF17,0.5,Briza maxima L.
MF17,0.5,Bromus erectus Huds.
MF17,0.5,Campanula rapunculus L.
MF17,0.5,Carlina corymbosa L.
MF17,0.1,Centaurium erythraea Rafn
MF17,0.1,Cistus creticus L. subsp. eriocephalus (Viv.) Greuter & Burdet
MF17,0.5,Cistus monspeliensis L.
MF17,0.5,Convolvulus althaeoides L. subsp. tenuissimus (Sibth. & Sm.) Stace
MF17,0.5,Crupina vulgaris Cass.
MF17,0.5,Dactylis glomerata L.
MF17,0.5,Desmazeria rigida (L.) Tutin
MF17,0.5,Dianthus longicaulis Ten.
MF17,0.5,Echium plantagineum L.
MF17,0.5,Filago pyramidata L.
MF17,0.1,Galactites tomentosa Moench
MF17,3,Galium corrudifolium Vill.
MF17,0.5,Gastridium ventricosum (Gouan) Schinz & Thell.
MF17,0.5,Hypochaeris achyrophorus L.
MF17,0.5,Kundmannia sicula (L.) DC.
MF17,0.1,Linum trigynum L.
MF17,0.5,Myrtus communis L.
MF17,0.5,Parentucellia viscosa (L.) Caruel
MF17,0.5,Pistacia lentiscus L.
MF17,0.5,Psoralea bituminosa L.
MF17,0.1,Pulicaria odora (L.) Rchb.
MF17,0.5,Reichardia picroides (L.) Roth
MF17,0.5,Sideritis romana L.
MF17,0.1,Spartium junceum L.
MF17,0.5,Teucrium fruticans L.
MF17,0.5,Trifolium arvense L.
MF17,0.5,Trifolium campestre Schreb.
MF17,0.1,Trifolium scabrum L.
MF17,0.5,Tuberaria guttata (L.) Fourr.
MF17,0.1,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt
JP48,3,Allium subhirsutum L.
JP48,62.5,Ampelodesmos mauritanicus (Poir.) T.Durand & Schinz
JP48,0.5,Arenaria serpyllifolia L.
JP48,0.1,Asparagus acutifolius L.
JP48,0.5,Asterolinon linum-stellatum (L.) Duby
JP48,0.5,Blackstonia perfoliata (L.) Huds.
JP48,0.5,Briza maxima L.
JP48,0.5,Centaurium erythraea Rafn
JP48,0.5,Cistus monspeliensis L.
JP48,0.5,Desmazeria rigida (L.) Tutin
JP48,0.1,Dianthus longicaulis Ten.
JP48,0.1,Galactites tomentosa Moench
JP48,0.1,Galium corrudifolium Vill.
JP48,0.5,Hypochaeris achyrophorus L.
JP48,0.5,Kundmannia sicula (L.) DC.
JP48,0.1,Linum strictum L.
JP48,0.5,Lophochloa cristata (L.) H.Hyl.
JP48,0.5,Ononis reclinata L.
JP48,0.5,Phillyrea angustifolia L.
JP48,0.5,Pistacia lentiscus L.
JP48,15,Psoralea bituminosa L.
JP48,0.1,Pulicaria odora (L.) Rchb.
JP48,0.1,Satureja graeca L.
JP48,0.1,Sherardia arvensis L.
JP48,0.1,Sideritis romana L.
JP48,0.5,Smilax aspera L.
JP48,0.5,Spartium junceum L.
JP48,0.5,Teucrium capitatum L.
JP48,0.5,Teucrium fruticans L.
JP48,0.1,Trifolium scabrum L.
JP48,0.1,"Valantia hispida auct. Fl. Tosc., non L."
JP48,0.1,Vulpia ciliata Dumort.
JC83,62.5,"Petasites hybridus (L.) G.Gaertn., B.Mey. & Scherb. subsp. hybridus"
JC83,15,Equisetum telmateia Ehrh.
JC83,15,Ranunculus repens L.
JC83,3,Aegopodium podagraria L.
JC83,3,Carex remota L.
JC83,3,Geranium robertianum L.
JC83,3,Heracleum sphondylium L.
JC83,3,Ranunculus lanuginosus L.
JC83,3,Rubus hirtus Waldst. & Kit.
JC83,0.5,Myosotis sylvatica Hoffm. subsp. sylvatica
JC83,0.5,Stachys sylvatica L.
JC83,0.5,Urtica dioica L. subsp. dioica
JC83,3,Rosa arvensis Huds.
JC83,0.5,Acer campestre L.
JC83,0.5,Brachypodium sylvaticum (Huds.) P.Beauv. subsp. sylvaticum
JC83,0.5,Carex sylvatica Huds. subsp. sylvatica
JC83,0.5,Lonicera etrusca Santi
JC83,0.5,Lactuca muralis (L.) Gaertn.
GR90,0.1,Cytisus scoparius (L.) Link
GR90,0.1,Daphne laureola L.
GR90,0.1,Daphne mezereum L.
GR90,0.1,Melica uniflora Retz.
GR90,0.1,Prenanthes purpurea L.
GR90,0.1,Rumex conglomeratus Murray
GR90,0.1,Sambucus nigra L.
GR90,0.5,Acer pseudoplatanus L.
GR90,0.5,Aremonia agrimonoides (L.) DC.
GR90,0.5,Arisarum vulgare Targ.Tozz.
